so_user_id,gh_user_id,label
16632,2,1
25012,2,0
426443,3,1
819230,3,0
1156601,8,0
559676,10,1
1277948,10,0
989170,14,0
1043757,14,1
74366,15,1
1417020,15,0
142965,19,1
1377841,19,0
633559,21,0
821933,22,1
1213449,22,0
1010723,28,0
330152,33,0
28721,34,0
682658,37,1
1067037,37,0
496857,39,1
531756,39,0
280069,40,1
343420,40,0
11886,41,0
1102530,42,0
2285,45,1
774712,45,0
483721,47,0
207564,48,1
1454774,48,0
156011,51,0
549307,54,0
3344,57,0
490824,57,1
51647,58,1
637998,58,0
180275,62,1
485610,62,0
13549,67,1
575326,67,0
572114,72,0
1156388,72,1
608742,74,1
838017,74,0
416626,78,1
1382542,78,0
178841,79,1
529226,79,0
191547,82,1
1099584,82,0
951599,84,0
311992,88,0
404650,88,1
235349,91,1
976275,91,0
877701,92,1
1162473,92,0
505493,93,1
1075380,93,0
638415,94,0
1552536,94,1
804159,101,0
807865,105,0
894519,106,0
1051846,106,1
1480006,111,0
1564518,111,1
776729,113,0
1029983,114,0
1234818,114,1
1090699,116,0
51280,119,1
1489931,119,0
182469,124,1
672681,124,0
847590,130,0
24097,132,0
385049,142,1
630718,142,1
1116941,142,0
731789,147,0
1306959,147,1
314652,148,1
981578,148,0
469965,153,1
854260,153,0
983616,154,0
1035658,154,1
1030656,157,0
1057402,160,0
237217,162,1
259982,162,1
442718,162,0
632894,163,1
798296,163,0
334597,165,1
1498271,165,0
843971,166,1
939216,166,0
389404,167,0
392825,167,1
352750,169,0
1056935,175,0
1304251,175,1
12268,177,0
1233416,181,1
1507952,181,0
969315,186,0
266345,191,0
540559,191,1
321143,193,1
741658,193,0
296547,194,1
1081118,194,0
308825,195,1
1329428,195,0
717424,196,0
911823,196,1
905596,202,1
1369667,202,0
195515,203,1
946551,203,0
1044617,211,1
1372227,211,0
714225,219,0
1419918,219,1
424106,220,0
457898,222,1
1493989,222,0
1168156,223,0
202171,224,1
1364996,224,0
1188345,226,0
645186,230,0
520853,233,0
1269544,233,1
859314,234,1
921437,234,0
252412,246,1
505414,246,0
188145,248,1
1061711,248,0
437331,256,1
920584,256,0
559374,259,0
522643,262,0
76392,264,1
974406,264,0
425392,267,0
440959,267,1
396044,268,1
1108086,268,0
39791,269,0
898077,273,0
438636,278,0
453275,278,1
1417031,284,0
181823,285,1
408033,285,0
197203,287,0
791408,287,1
919,288,1
243305,288,0
615639,289,0
926746,289,1
130554,293,1
1311420,293,0
678696,294,0
243238,297,1
1430653,297,0
221612,299,0
1378617,299,1
131019,311,1
1514168,311,0
1012591,317,0
158998,322,1
1501170,322,0
429726,327,1
1437618,327,0
58928,334,1
1229230,334,0
586083,340,0
73056,346,1
1411192,346,0
219013,351,0
260754,351,1
282791,355,0
330223,355,1
739125,364,0
200426,365,0
265411,365,1
123696,367,0
710404,367,1
825746,370,0
1146110,370,1
205570,373,0
597193,375,1
1034715,375,0
596910,377,1
696622,377,0
989851,378,0
61130,379,1
834575,379,0
382740,386,1
1138517,386,0
666029,389,1
858321,389,0
442636,396,1
690611,396,0
592737,402,0
345858,403,1
668034,403,0
794211,404,1
1383662,404,0
1103932,409,1
1409383,409,0
401125,415,0
990471,417,0
1429519,417,1
9589,420,1
871509,420,0
291633,423,1
1430619,423,0
303778,424,1
1120488,424,0
592568,436,1
1149781,436,0
192046,437,1
473988,437,0
1071513,443,0
1300063,443,1
750361,445,0
1525945,445,1
283925,450,0
199828,463,1
640310,463,0
1204312,474,1
1514280,474,0
905252,476,1
1171945,476,0
745293,478,1
812906,478,0
51133,485,1
731673,485,0
281415,486,0
88022,487,1
579828,487,0
258550,492,1
1014013,492,0
1187272,498,1
1459932,498,0
25192,499,0
1322008,501,0
190494,502,1
209868,502,1
566415,502,0
373243,504,0
1108511,506,0
225184,510,1
386833,510,0
1475430,511,0
1539920,511,1
1526089,512,0
1191568,513,1
1429722,513,0
860525,514,1
1159672,514,0
1441532,515,0
1076628,517,1
1365790,517,0
644569,525,0
923559,526,0
1038962,526,1
962311,527,1
1466039,527,0
1446833,536,0
341229,537,0
438499,537,1
18370,538,0
654297,538,1
528746,543,0
1095877,543,1
505195,548,0
1202374,548,1
618333,551,1
968843,551,0
262972,553,1
967861,553,0
304811,556,1
1148591,556,0
196075,560,1
1267988,560,0
285283,561,0
94272,564,1
1309168,564,0
464753,566,0
845452,566,1
1063841,570,1
1452882,570,0
27672,576,0
152339,579,1
276326,579,0
1153979,581,0
164925,583,1
1393963,583,0
752419,584,1
1218447,584,0
1182134,586,1
1295673,586,0
262112,588,0
424592,588,1
149487,598,0
658370,598,1
1447481,599,1
1450785,599,0
858985,604,0
1335002,604,1
990805,605,0
1058667,605,1
575655,607,0
868404,609,0
95869,616,1
966435,616,0
500958,617,0
683982,619,0
568920,629,0
1157377,632,1
1354445,632,0
456199,633,0
1527673,633,1
245110,636,0
428321,636,1
480963,637,0
1541707,637,1
322014,641,0
415228,641,1
646076,642,0
413685,643,1
996614,643,0
441695,648,0
541165,649,0
613575,649,1
1566501,650,0
